layer,mean_all_pairs,mean_offdiag_pairs
0,0.00018919873400591314,0.0001281714007173827
1,0.00011981929128523916,5.8787723153107395e-05
2,0.0001797095319489017,0.00011868161945008885
3,0.00033310818253085017,0.0002720896333141335
4,0.0003124501381535083,0.00025143032799286336
5,0.0009055558475665748,0.0008445722399152024
6,0.0009649729472585022,0.000903992966360453
7,0.0010355012491345406,0.0009745255732051708
8,0.001013164408504963,0.0009521873691598189
9,0.0009180771303363144,0.0008570942869700406
10,0.0009069215739145875,0.0008459380496256242
11,0.000828698102850467,0.0007677098038883019
12,0.0007051900029182434,0.0006441941651597693
13,0.0006352585041895509,0.000574258397890594
14,0.0006026390474289656,0.0005416369500748442
15,0.0006249804282560945,0.0005639796945948759
16,0.0005337087204679847,0.0004727024156837857
17,0.0005546746542677283,0.0004936696292206837
18,0.0005751383141614497,0.0005141345381933218
19,0.0006024205358698964,0.0005414184251780737
20,0.0006240679649636149,0.0005630671756066574
21,0.0006006454350426793,0.0005396432160006872
22,0.000463028292870149,0.0004020176738316866
23,0.00042078556725755334,0.0003597723697703567
24,0.00045558082638308406,0.00039456975275959527
25,0.00012568353849928826,6.465232831424885e-05
