,cos_sim
0,0.9849367141723633
1,0.9860101342201233
2,0.9759888052940369
3,0.9685941338539124
4,0.972137451171875
5,0.9412073493003845
6,0.9100551009178162
7,0.9206593632698059
8,0.8958451151847839
9,0.8919187784194946
10,0.8524023294448853
11,0.8749150037765503
12,0.8051740527153015
13,0.827888011932373
14,0.8204555511474609
15,0.8113804459571838
16,0.8214775919914246
17,0.7827461957931519
18,0.813178300857544
19,0.8052865862846375
20,0.7972224950790405
21,0.7918083667755127
22,0.7824726700782776
23,0.7741501331329346
24,0.8084725141525269
25,0.8139471411705017
